Generation,Best Fitness,Average Fitness,Worst Fitness
0,-80864.0,-318559.85,-812340.0
1,-52174.0,-238944.99,-516443.0
2,-56661.0,-191046.19,-411789.0
3,-53179.0,-158745.72,-565149.0
4,-59472.0,-149596.69,-520635.0
5,-51778.0,-129009.65,-605581.0
6,-53081.0,-104027.45,-551062.0
7,-50481.0,-92463.26,-528190.0
8,-51176.0,-89322.91,-302265.0
9,-49378.0,-87105.1,-278106.0
10,-50279.0,-99680.99,-428672.0
11,-50781.0,-108256.1,-381602.0
12,-50277.0,-91618.21,-543798.0
13,-51080.0,-95869.06,-341993.0
14,-47678.0,-92527.27,-311295.0
15,-48781.0,-88812.25,-431057.0
16,-44981.0,-84796.1,-347125.0
17,-44281.0,-82104.58,-324548.0
18,-48066.0,-91319.99,-332990.0
19,-44982.0,-88914.85,-331069.0
20,-47582.0,-90320.33,-439628.0
21,-49480.0,-87337.42,-434095.0
22,-47981.0,-84152.32,-300899.0
23,-41182.0,-89011.48,-437106.0
24,-48280.0,-84359.68,-319081.0
25,-47481.0,-83562.18,-255899.0
26,-44982.0,-91300.75,-456182.0
27,-48780.0,-98591.61,-454742.0
28,-43882.0,-91260.7,-595392.0
29,-49080.0,-78192.37,-339041.0
30,-48381.0,-87597.06,-398495.0
31,-47564.0,-87655.54,-475566.0
32,-47378.0,-94218.16,-445850.0
33,-47581.0,-98452.16,-607379.0
34,-43682.0,-89267.2,-336535.0
35,-50580.0,-87884.79,-304706.0
36,-52180.0,-82399.4,-262058.0
37,-47680.0,-70138.5,-214869.0
38,-45582.0,-76654.32,-274708.0
39,-49674.0,-105107.58,-395669.0
40,-48381.0,-90995.07,-427359.0
41,-45376.0,-87894.01,-429613.0
42,-44681.0,-89433.43,-312800.0
43,-49580.0,-83987.39,-288655.0
44,-48180.0,-92296.99,-389613.0
45,-49581.0,-89363.23,-472345.0
46,-48381.0,-84925.3,-249333.0
47,-49181.0,-79358.63,-228803.0
48,-46467.0,-83474.45,-281191.0
49,-48681.0,-84836.2,-308884.0
